Artista,Género,Tipo,Nombre,Año,ID
Luther Allison,blues,track,Rock Me Baby,2001.0,0scWSN8g0AQXGUbK4pDw3I
Eric Clapton,blues,track,Son & Sylvia,2001.0,7tThPtjp4B9hRI5ZoyfVDF
Jools Holland,blues,track,Seventh Son,2001.0,3bKVTZwrJyalKOroXBNIM2
Elmore James,blues,track,Shake Your Money Maker,2001.0,2VxnY6jbl0SckkZp9wrNF7
Alicia Keys,blues,track,A Woman's Worth,2001.0,66rIQM8JtcI49wf1vrqN2k
Chick Willis,blues,track,Someday Baby,2001.0,2SSqOWVTbKN0pTTKjgy6dg
Bessie Smith,blues,track,Empty Bed Blues,2001.0,5rubCi6Y0QoLez4nQLkRBf
John Hammond,blues,track,Clap Hands,2001.0,4JjeL9HhpXjH40d965F18X
Debbie Davies,blues,track,Can't Find The Blues,2001.0,5gn7xWrc0Dws208wn6Lk0T
Michael Burks,blues,track,What Can A Man Do?,2001.0,03mq9rVxvMrzu7qBQQZ588
Lucky Peterson,blues,track,Smooth Sailing,2001.0,261GMd9xUJErnkH7nUNHEd
Jimmy Smith,blues,track,Three O'Clock Blues,2001.0,62jmnpYqNTenUL1axFeJK8
Eric Clapton,blues,track,Superman Inside,2001.0,7hFUJwvYz0XJHI9etxUFYK
John Mayall,blues,track,So Many Roads,2001.0,5sa9L0Vn6Fjy7tjq4uVGhF
Bessie Smith,blues,track,Baby Doll,2001.0,3NJhYRshQrxPmQeRNwL0i6
Johnny Boyd,blues,track,Comin' Home To You,2001.0,7hH2vD7mrfgwrXoAn2Swb9
Luther Allison,blues,track,Sweet Home Chicago,2001.0,4R4gKKq06GNityZMTHGdVo
Dany Brillant,blues,track,Tu vuo' fa l'americano,2001.0,70YCgu6nMGMH807WnUA5IZ
Mario Bradley,blues,track,Chicago Jive,2001.0,2gfVgRtveeiNoD7C4LJcGz
Sister Swing,blues,track,Choo Choo Cha Boogie,2001.0,3rBghq0BHeC4ntkOPXh1Z7
Mighty Sam McClain,blues,track,Standing In The Wings,2001.0,0GPkIcpZbx8c79jUA72UfG
Buddy Guy,blues,track,Baby Please Don't Leave Me,2001.0,7JECM65zNFrYIHdvxj8NbO
Jimmy Smith,blues,track,Only In It For The Money,2001.0,5UpW3ppFemyjWjO43HIoaw
Eric Bibb,blues,track,I Heard the Angels Singing,2001.0,2XL9WCOhengbLmrE6zK2Yg
John Mayall,blues,track,If I Don't Get Home,2001.0,6TY8v89HSW0krknn0KNk1M
Elmore James,blues,track,Standing At The Crossroads,2001.0,1e6qkPMUiaWZfVk7WdRByQ
Elmore James,blues,track,Standing At The Crossroads,2001.0,6gEtsBtaAe82Qd9obiTEAB
Eric Clapton,blues,track,Modern Girl,2001.0,2VEpnVQHYk4vtpNBnYfpz9
Howlin' Wolf,blues,track,Smokestack Lightnin',2001.0,2qkpzlS8qvQOezmnlMkedv
Gov't Mule,blues,track,Worried Down With The Blues,2001.0,3OQWmRTZbP8CuqBrH1o3qP
