,Artista,Género,Tipo,Nombre,Año,ID
265,Nasio,reggae,track,Where We Belong,2001,67HOf9MD725Oo8WVAvDmSp
266,Joyce Bond,reggae,track,Music and Love,2001,4vQAt7jj6nKsAmu7zmb7AT
267,Junior Kelly,reggae,track,Sunshine,2001,0IdO7Sj7E4nZQHAqfVbbYH
268,Nasio,reggae,track,No Love,2001,6PGTLCGHXrGRICzGhmWXDc
269,Prince Jazzbo,reggae,track,Crabwalking,2001,0jPb2Ynp2XWiXegTqes6TR
270,Jazz Jamaica All Stars,reggae,track,Confucius,2001,4S7rl0k2NQGTu0bEgTtanx
271,Nasio,reggae,track,NO BABYLON,2001,320TLTbMrIFIIUYIq4xfFX
272,Salida Nula,reggae,track,¿Qué Va a Ser...?,2001,59Hswl8t2PcZl1ESCtFZFi
273,New York Ska-Jazz Ensemble,reggae,track,Comes Love - Collection,2001,1BDLmFsjovS2ggScUn5zDq
274,The Black Seeds,reggae,track,Coming Back Home,2001,5fgqZ4wQ0IFVyfoeGe6WZ5
275,Terry Linen,reggae,track,That's The Way It Is,2001,3hDjP4epMNLtTs3raKUuW7
276,Nasio,reggae,track,Jah Jah See,2001,5G7uFAZkcEOdC3GUlzRqAA
277,Damian Marley,reggae,track,Paradise Child,2001,04dPLx5yAEiGHKrxtCM75N
278,Norma Fraser,reggae,track,The First Cut Is the Deepest,2001,4SIymEWS0IqR3dtPRDICjK
279,Nasio,reggae,track,Armed & Dangerous,2001,5wIBsriVTEQQ3YmQXN7kiY
280,Harry Belafonte,reggae,track,Jump In the Line,2001,3w6m1sTs8qXiuITB0sziwY
281,Le Peuple de L'Herbe,reggae,track,Reggaematic,2001,1WF1CYDyP02QDM0fhDFMy2
