Artista,Género,Tipo,Nombre,Año,ID
Rodrigo,latin pop,track,Un Largo Camino al Cielo,2000,2PlSYK2fahYQAfOQ5oZkDt
Banda XXI,latin pop,track,Y Te Amo Solo,2000,78Of4ie3Av5b8BKSf8CG6H
Alejandro Sanz,latin pop,track,Tiene que ser pecado,2000,3Mu0D93GhMoPKjPx7htLXY
Donato Y Estefano,latin pop,track,Y Bailo,2000,4qrhU545tqm3RHvNrql1YA
Celia Cruz,latin pop,track,Por Si Acaso No Regreso,2000,50TcSPtqH5VsexbUlbptVu
Ana Torroja,latin pop,track,Barco a Venus,2000,2CPucIrbVXPHysngMqfmSI
Polo Montañez,latin pop,track,Un Montón De Estrellas - Montuno pop mix,2000,57kkKgQqufYrdRrkXk02nr
Luis Alberto Posada,latin pop,track,Negros Recuerdos,2000,2eaqczOTq5cAAZxIdbkYr9
Ana Torroja,latin pop,track,Ya no te quiero,2000,36q0PyyQa1u39ZUala53gD
Ana Torroja,latin pop,track,Hoy no me puedo levantar,2000,1R7Xolq9aQh8fTZ4qa9rnb
Alejandro Sanz,latin pop,track,Silencio (Ghost Track),2000,41IpfXrlcy5uVYLHSD4hw1
Donato Y Estefano,latin pop,track,Mar Adentro,2000,5zGneVMVXG5uTqNjVUenWH
Monica Naranjo,latin pop,track,Enamorada - Remasterizado 2024,2000,0Xlg10txXw1OzvJwHMB0Sr
Issac Delgado,latin pop,track,Popourri Pa'l Sonero,2000,13ViPREtq0llZeSbArTKno
Luis Alberto Posada,latin pop,track,Destino Marcado,2000,4ioo5mmNAB8XjaCNtsq7ww
Tru La La,latin pop,track,Como Tú,2000,0HF43dp7GkUmDSTwtFAKE7
Los Chaque's,latin pop,track,Popurrí,2000,7b3uMBF8ofWeYgMQiPEM2C
José José,latin pop,track,Popurrí: Cómo Hacer para Olvidar / Con Mis Propias Manos (with Juan Gabriel),2001,63IIgFOKUy9bUPsFbFg5Hz
Shakira,latin pop,track,Objection (Tango),2001,36YNa8joLwu9yor2TkZbIY
Sabroso,latin pop,track,Llegó Tu Papi,2001,3jdU5hu76KBxor1EBDDSXR
